variable_name,model,emb_type,context,layer,y_preds,accs,f1s,f1_max_index,f1_max,f1_avg
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
       'mythological', 'astronomical', 'mythological',
       'metaphorical_general', 'mythological', 'geographical',
       'geographical', 'metaphorical_general', 'geographical',
       'medical_anatomical', 'geographical', 'geographical',
       'geographical', 'geographical', 'geographical', 'mythological',
       'mythological', 'poetic', 'metaphorical_general', 'philosophical',
       'medical_anatomical', 'metaphorical_general', 'geographical',
       'geographical', 'metaphorical_general', 'mythological',
       'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'poetic',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'scientific_alchemical', 'scientific_alchemical',
       'medical_anatomical', 'metaphorical_general',
       'scientific_alchemical', 'medical_anatomical', 'mythological',
       'mythological', 'mythological', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical',
       'scientific_alchemical', 'medical_anatomical',
       'scientific_alchemical', 'medical_anatomical', 'philosophical',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'philosophical', 'medical_anatomical', 'metaphorical_general',
       'scientific_alchemical', 'medical_anatomical', 'geographical',
       'metaphorical_general', 'mythological', 'mythological',
       'geographical', 'medical_anatomical', 'geographical',
       'mythological', 'mythological', 'mythological', 'geographical',
       'scientific_alchemical', 'mythological', 'geographical',
       'geographical', 'geographical', 'medical_anatomical', 'poetic',
       'mythological', 'scientific_alchemical', 'mythological',
       'mythological', 'geographical', 'mythological', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'metaphorical_general', 'mythological', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'philosophical',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'poetic', 'mythological', 'mythological', 'poetic', 'mythological',
       'mythological', 'metaphorical_general', 'medical_anatomical',
       'mythological', 'metaphorical_general', 'metaphorical_general',
       'philosophical', 'metaphorical_general', 'poetic',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'geographical', 'metaphorical_general',
       'philosophical', 'philosophical', 'geographical', 'mythological',
       'philosophical', 'mythological', 'medical_anatomical',
       'mythological', 'philosophical', 'metaphorical_general',
       'scientific_alchemical', 'mythological', 'scientific_alchemical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'mythological', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'metaphorical_general',
       'metaphorical_general', 'geographical', 'medical_anatomical',
       'mythological', 'mythological', 'medical_anatomical',
       'mythological', 'mythological', 'metaphorical_general',
       'mythological', 'philosophical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'mythological', 'medical_anatomical', 'scientific_alchemical',
       'medical_anatomical', 'medical_anatomical', 'metaphorical_general',
       'medical_anatomical', 'metaphorical_general', 'poetic',
       'scientific_alchemical', 'geographical', 'scientific_alchemical',
       'mythological', 'philosophical', 'medical_anatomical',
       'medical_anatomical', 'scientific_alchemical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'mythological', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'mythological',
       'mythological', 'mythological', 'medical_anatomical',
       'mythological', 'medical_anatomical', 'scientific_alchemical',
       'metaphorical_general', 'scientific_alchemical', 'philosophical',
       'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'mythological', 'mythological',
       'mythological', 'geographical', 'geographical', 'geographical',
       'scientific_alchemical', 'geographical', 'geographical',
       'geographical', 'metaphorical_general', 'geographical',
       'medical_anatomical', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
       'mythological', 'geographical', 'metaphorical_general',
       'metaphorical_general', 'scientific_alchemical',
       'medical_anatomical', 'poetic', 'geographical',
       'metaphorical_general', 'mythological', 'geographical',
       'mythological', 'medical_anatomical', 'poetic',
       'medical_anatomical', 'medical_anatomical', 'poetic',
       'metaphorical_general', 'philosophical', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical', 'metaphorical_general',
       'medical_anatomical', 'metaphorical_general',
       'scientific_alchemical', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'medical_anatomical',
       'mythological', 'scientific_alchemical', 'medical_anatomical',
       'scientific_alchemical', 'medical_anatomical',
       'metaphorical_general', 'philosophical', 'scientific_alchemical',
       'mythological', 'geographical', 'geographical',
       'medical_anatomical', 'medical_anatomical', 'metaphorical_general',
       'medical_anatomical'], dtype=object), array(['metaphorical_general', 'metaphorical_general', 'philosophical',
       'medical_anatomical', 'metaphorical_general',
       'metaphorical_general', 'poetic', 'mythological',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'scientific_alchemical',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'poetic', 'mythological', 'metaphorical_general', 'geographical',
       'mythological', 'medical_anatomical', 'philosophical',
       'geographical', 'mythological', 'metaphorical_general',
       'philosophical', 'metaphorical_general', 'metaphorical_general',
       'mythological', 'metaphorical_general', 'metaphorical_general',
       'philosophical', 'medical_anatomical', 'metaphorical_general',
       'metaphorical_general', 'spiritual_religious', 'poetic',
       'mythological', 'geographical', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'spiritual_religious',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'medical_anatomical', 'mythological',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
       'medical_anatomical', 'mythological', 'mythological',
       'mythological', 'mythological', 'mythological', 'mythological',
       'mythological', 'mythological', 'mythological', 'philosophical',
       'mythological', 'geographical', 'mythological', 'mythological',
       'mythological', 'mythological', 'philosophical', 'mythological',
       'medical_anatomical', 'mythological', 'mythological',
       'mythological', 'mythological', 'mythological',
       'scientific_alchemical', 'geographical', 'mythological',
       'mythological', 'metaphorical_general', 'philosophical',
       'mythological', 'mythological', 'mythological',
       'medical_anatomical', 'geographical', 'poetic', 'philosophical',
       'philosophical', 'mythological', 'geographical', 'mythological',
       'mythological', 'mythological', 'metaphorical_general',
       'medical_anatomical', 'mythological', 'mythological',
       'mythological', 'mythological', 'mythological', 'geographical',
       'medical_anatomical', 'mythological', 'mythological',
       'mythological', 'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'philosophical',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'metaphorical_general',
       'mythological', 'philosophical', 'metaphorical_general',
       'metaphorical_general', 'poetic', 'mythological', 'mythological',
       'mythological', 'geographical', 'mythological', 'philosophical',
       'philosophical', 'metaphorical_general', 'mythological',
       'philosophical', 'medical_anatomical', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'geographical', 'mythological',
       'medical_anatomical', 'mythological', 'metaphorical_general',
       'poetic', 'mythological', 'metaphorical_general', 'geographical',
       'mythological', 'mythological', 'medical_anatomical',
       'mythological', 'metaphorical_general', 'poetic', 'geographical',
       'mythological', 'philosophical', 'mythological', 'poetic',
       'mythological', 'medical_anatomical', 'mythological',
       'mythological', 'mythological', 'mythological', 'geographical',
       'poetic', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'spiritual_religious', 'mythological',
       'mythological', 'metaphorical_general', 'medical_anatomical',
       'poetic', 'metaphorical_general', 'metaphorical_general',
       'mythological', 'medical_anatomical', 'geographical',
       'philosophical', 'poetic', 'mythological', 'mythological',
       'metaphorical_general', 'scientific_alchemical', 'mythological',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'scientific_alchemical', 'medical_anatomical', 'philosophical',
       'philosophical', 'metaphorical_general', 'philosophical',
       'mythological', 'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'poetic',
       'metaphorical_general', 'poetic', 'geographical',
       'metaphorical_general', 'metaphorical_general', 'geographical',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'mythological', 'mythological', 'mythological', 'geographical',
       'geographical', 'scientific_alchemical', 'metaphorical_general',
       'mythological', 'mythological', 'geographical',
       'metaphorical_general', 'metaphorical_general', 'geographical',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'mythological',
       'geographical', 'metaphorical_general', 'spiritual_religious',
       'mythological', 'metaphorical_general', 'metaphorical_general',
       'poetic', 'philosophical', 'mythological', 'mythological',
       'scientific_alchemical', 'scientific_alchemical',
       'scientific_alchemical', 'medical_anatomical',
       'metaphorical_general', 'philosophical', 'philosophical',
       'metaphorical_general', 'scientific_alchemical',
       'scientific_alchemical', 'geographical', 'philosophical',
       'mythological', 'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'geographical',
       'mythological', 'mythological', 'mythological',
       'metaphorical_general', 'mythological', 'scientific_alchemical',
       'metaphorical_general', 'poetic', 'metaphorical_general',
       'medical_anatomical', 'philosophical', 'scientific_alchemical',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'scientific_alchemical',
       'metaphorical_general', 'metaphorical_general',
       'scientific_alchemical', 'metaphorical_general', 'philosophical',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
       'metaphorical_general', 'philosophical', 'scientific_alchemical',
       'metaphorical_general', 'mythological', 'mythological',
       'metaphorical_general', 'metaphorical_general',
       'scientific_alchemical', 'scientific_alchemical',
       'scientific_alchemical', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'mythological',
       'scientific_alchemical', 'medical_anatomical', 'philosophical',
       'metaphorical_general', 'scientific_alchemical',
       'scientific_alchemical', 'metaphorical_general', 'geographical',
       'scientific_alchemical', 'mythological', 'geographical',
       'metaphorical_general', 'philosophical', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'metaphorical_general', 'medical_anatomical',
       'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'mythological', 'medical_anatomical', 'philosophical',
       'philosophical', 'mythological', 'medical_anatomical',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'poetic',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
       'metaphorical_general', 'mythological', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'medical_anatomical', 'metaphorical_general', 'philosophical',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'mythological', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'mythological',
       'mythological', 'mythological', 'mythological', 'mythological',
       'scientific_alchemical', 'medical_anatomical', 'mythological',
       'medical_anatomical', 'scientific_alchemical', 'geographical',
       'philosophical', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'mythological', 'medical_anatomical',
       'metaphorical_general', 'medical_anatomical', 'mythological',
       'philosophical', 'metaphorical_general', 'mythological',
       'medical_anatomical', 'philosophical', 'scientific_alchemical',
       'medical_anatomical', 'scientific_alchemical',
       'scientific_alchemical', 'metaphorical_general',
       'medical_anatomical', 'mythological', 'scientific_alchemical',
       'metaphorical_general', 'scientific_alchemical',
       'metaphorical_general', 'mythological', 'geographical',
       'geographical', 'metaphorical_general', 'philosophical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'scientific_alchemical',
       'medical_anatomical', 'mythological', 'metaphorical_general',
       'poetic', 'medical_anatomical', 'medical_anatomical',
       'geographical', 'poetic', 'astronomical', 'scientific_alchemical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'geographical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'metaphorical_general',
       'geographical', 'metaphorical_general', 'geographical',
       'mythological', 'philosophical', 'philosophical',
       'metaphorical_general', 'medical_anatomical', 'geographical',
       'mythological', 'geographical', 'medical_anatomical',
       'mythological', 'metaphorical_general', 'poetic',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'poetic', 'poetic', 'mythological',
       'geographical', 'philosophical', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
       'metaphorical_general', 'medical_anatomical', 'geographical',
       'medical_anatomical', 'metaphorical_general', 'philosophical',
       'metaphorical_general', 'philosophical', 'philosophical',
       'philosophical', 'scientific_alchemical', 'mythological',
       'mythological', 'mythological', 'metaphorical_general',
       'geographical', 'philosophical', 'mythological',
       'metaphorical_general', 'geographical', 'mythological',
       'mythological', 'geographical', 'mythological', 'philosophical',
       'medical_anatomical', 'geographical', 'mythological', 'poetic',
       'astronomical', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'geographical',
       'geographical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'poetic', 'metaphorical_general', 'medical_anatomical',
       'mythological', 'medical_anatomical', 'geographical',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'geographical',
       'mythological', 'medical_anatomical', 'philosophical',
       'metaphorical_general', 'mythological', 'poetic',
       'medical_anatomical', 'poetic', 'medical_anatomical', 'poetic',
       'philosophical', 'philosophical', 'metaphorical_general',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'philosophical',
       'philosophical', 'geographical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'geographical',
       'scientific_alchemical', 'metaphorical_general', 'poetic',
       'philosophical', 'metaphorical_general', 'medical_anatomical',
       'metaphorical_general', 'medical_anatomical', 'geographical',
       'poetic', 'philosophical', 'mythological', 'medical_anatomical',
       'mythological', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'scientific_alchemical', 'mythological',
       'metaphorical_general', 'mythological', 'mythological',
       'astronomical', 'geographical', 'geographical',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'scientific_alchemical', 'mythological',
       'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'philosophical',
       'scientific_alchemical', 'metaphorical_general',
       'medical_anatomical', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'mythological', 'mythological', 'metaphorical_general',
       'scientific_alchemical', 'scientific_alchemical', 'philosophical',
       'philosophical', 'philosophical', 'poetic', 'mythological',
       'metaphorical_general', 'philosophical', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
       'philosophical', 'medical_anatomical', 'geographical',
       'scientific_alchemical', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'scientific_alchemical',
       'mythological', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'philosophical',
       'mythological', 'poetic', 'metaphorical_general',
       'metaphorical_general', 'geographical', 'geographical', 'poetic',
       'scientific_alchemical', 'mythological', 'medical_anatomical',
       'geographical', 'geographical', 'geographical', 'geographical',
       'geographical', 'geographical', 'mythological',
       'metaphorical_general', 'mythological', 'philosophical',
       'medical_anatomical', 'metaphorical_general', 'geographical',
       'mythological', 'metaphorical_general', 'mythological',
       'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'medical_anatomical',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'metaphorical_general', 'geographical',
       'medical_anatomical', 'mythological', 'mythological',
       'mythological', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'scientific_alchemical',
       'medical_anatomical', 'mythological', 'medical_anatomical',
       'philosophical', 'medical_anatomical', 'geographical',
       'medical_anatomical', 'medical_anatomical', 'metaphorical_general',
       'medical_anatomical', 'philosophical', 'medical_anatomical',
       'philosophical', 'astronomical', 'medical_anatomical',
       'geographical', 'metaphorical_general', 'mythological',
       'mythological', 'geographical', 'medical_anatomical',
       'geographical', 'mythological', 'mythological', 'mythological',
       'geographical', 'scientific_alchemical', 'mythological',
       'geographical', 'medical_anatomical', 'geographical',
       'metaphorical_general', 'poetic', 'mythological',
       'scientific_alchemical', 'mythological', 'mythological',
       'geographical', 'geographical', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'mythological', 'mythological', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'philosophical',
       'medical_anatomical', 'metaphorical_general', 'mythological',
       'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'poetic', 'mythological', 'mythological', 'poetic', 'mythological',
       'mythological', 'metaphorical_general', 'medical_anatomical',
       'mythological', 'geographical', 'metaphorical_general',
       'mythological', 'philosophical', 'mythological',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'geographical',
       'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'geographical', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'geographical',
       'mythological', 'mythological', 'mythological', 'geographical',
       'mythological', 'philosophical', 'metaphorical_general',
       'scientific_alchemical', 'medical_anatomical',
       'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'metaphorical_general',
       'metaphorical_general', 'geographical', 'mythological',
       'mythological', 'mythological', 'geographical', 'mythological',
       'mythological', 'metaphorical_general', 'mythological',
       'philosophical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'geographical', 'scientific_alchemical',
       'medical_anatomical', 'geographical', 'mythological',
       'geographical', 'metaphorical_general', 'metaphorical_general',
       'philosophical', 'scientific_alchemical', 'scientific_alchemical',
       'geographical', 'scientific_alchemical', 'mythological',
       'philosophical', 'medical_anatomical', 'medical_anatomical',
       'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'mythological', 'mythological', 'mythological', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'scientific_alchemical', 'scientific_alchemical',
       'scientific_alchemical', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'medical_anatomical', 'mythological',
       'mythological', 'mythological', 'mythological', 'philosophical',
       'metaphorical_general', 'metaphorical_general', 'geographical',
       'medical_anatomical', 'mythological', 'mythological',
       'mythological', 'medical_anatomical', 'scientific_alchemical',
       'mythological', 'metaphorical_general', 'philosophical',
       'mythological', 'geographical', 'poetic', 'metaphorical_general',
       'mythological', 'medical_anatomical', 'mythological',
       'geographical', 'metaphorical_general', 'geographical',
       'geographical', 'mythological', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'poetic', 'metaphorical_general', 'philosophical',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'metaphorical_general', 'medical_anatomical',
       'metaphorical_general', 'scientific_alchemical',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'scientific_alchemical', 'mythological', 'astronomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'metaphorical_general', 'geographical', 'scientific_alchemical',
       'geographical', 'geographical', 'geographical',
       'medical_anatomical', 'mythological', 'metaphorical_general',
       'medical_anatomical'], dtype=object), array(['metaphorical_general', 'metaphorical_general', 'philosophical',
       'medical_anatomical', 'metaphorical_general',
       'metaphorical_general', 'poetic', 'poetic', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'geographical',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'poetic', 'mythological',
       'metaphorical_general', 'mythological', 'mythological',
       'medical_anatomical', 'philosophical', 'geographical',
       'mythological', 'metaphorical_general', 'spiritual_religious',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
       'philosophical', 'metaphorical_general', 'metaphorical_general',
       'philosophical', 'poetic', 'metaphorical_general', 'geographical',
       'metaphorical_general', 'philosophical', 'mythological',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'spiritual_religious',
       'geographical', 'metaphorical_general', 'philosophical',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'philosophical', 'mythological', 'scientific_alchemical',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
       'philosophical', 'metaphorical_general', 'mythological',
       'mythological', 'mythological', 'mythological', 'mythological',
       'mythological', 'mythological', 'mythological', 'mythological',
       'philosophical', 'mythological', 'geographical', 'mythological',
       'poetic', 'metaphorical_general', 'mythological',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'scientific_alchemical', 'mythological', 'mythological',
       'mythological', 'mythological', 'scientific_alchemical',
       'geographical', 'mythological', 'geographical', 'mythological',
       'philosophical', 'mythological', 'mythological', 'mythological',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'philosophical', 'metaphorical_general', 'scientific_alchemical',
       'metaphorical_general', 'mythological', 'mythological', 'poetic',
       'metaphorical_general', 'medical_anatomical', 'mythological',
       'mythological', 'mythological', 'mythological', 'mythological',
       'geographical', 'mythological', 'mythological', 'mythological',
       'mythological', 'metaphorical_general', 'philosophical',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'philosophical', 'metaphorical_general', 'metaphorical_general',
       'philosophical', 'metaphorical_general', 'mythological',
       'philosophical', 'metaphorical_general', 'metaphorical_general',
       'poetic', 'mythological', 'medical_anatomical', 'mythological',
       'geographical', 'metaphorical_general', 'scientific_alchemical',
       'philosophical', 'mythological', 'mythological',
       'metaphorical_general', 'medical_anatomical',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'geographical',
       'mythological', 'geographical', 'mythological',
       'metaphorical_general', 'scientific_alchemical', 'mythological',
       'poetic', 'geographical', 'mythological', 'mythological',
       'medical_anatomical', 'mythological', 'metaphorical_general',
       'mythological', 'mythological', 'mythological',
       'metaphorical_general', 'mythological', 'poetic', 'mythological',
       'metaphorical_general', 'geographical', 'mythological',
       'mythological', 'mythological', 'medical_anatomical', 'poetic',
       'geographical', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'spiritual_religious', 'mythological', 'mythological',
       'metaphorical_general', 'mythological', 'poetic',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'medical_anatomical', 'poetic', 'philosophical',
       'scientific_alchemical', 'mythological', 'mythological',
       'metaphorical_general', 'scientific_alchemical', 'mythological',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'medical_anatomical',
       'scientific_alchemical', 'metaphorical_general', 'philosophical',
       'philosophical', 'metaphorical_general', 'scientific_alchemical',
       'mythological', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'mythological', 'metaphorical_general', 'geographical',
       'scientific_alchemical', 'philosophical', 'mythological', 'poetic',
       'metaphorical_general', 'mythological', 'mythological',
       'mythological', 'mythological', 'metaphorical_general',
       'mythological', 'medical_anatomical', 'metaphorical_general',
       'mythological', 'mythological', 'geographical',
       'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
       'mythological', 'geographical', 'metaphorical_general',
       'spiritual_religious', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'poetic',
       'mythological', 'mythological', 'mythological',
       'scientific_alchemical', 'scientific_alchemical',
       'medical_anatomical', 'metaphorical_general', 'philosophical',
       'philosophical', 'metaphorical_general', 'poetic',
       'scientific_alchemical', 'geographical', 'medical_anatomical',
       'mythological', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'mythological', 'mythological', 'mythological',
       'metaphorical_general', 'mythological', 'scientific_alchemical',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
       'medical_anatomical', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'geographical',
       'scientific_alchemical', 'metaphorical_general',
       'metaphorical_general', 'scientific_alchemical',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
       'metaphorical_general', 'mythological', 'geographical',
       'metaphorical_general', 'mythological', 'mythological',
       'metaphorical_general', 'metaphorical_general',
       'scientific_alchemical', 'scientific_alchemical',
       'scientific_alchemical', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'scientific_alchemical',
       'medical_anatomical', 'philosophical', 'metaphorical_general',
       'philosophical', 'metaphorical_general', 'geographical',
       'medical_anatomical', 'scientific_alchemical', 'mythological',
       'geographical', 'metaphorical_general', 'philosophical',
       'mythological', 'medical_anatomical', 'scientific_alchemical',
       'mythological', 'mythological', 'medical_anatomical',
       'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'philosophical', 'mythological', 'medical_anatomical',
       'philosophical', 'metaphorical_general', 'philosophical',
       'metaphorical_general', 'poetic', 'philosophical',
       'metaphorical_general', 'philosophical', 'metaphorical_general',
       'mythological', 'geographical', 'medical_anatomical',
       'medical_anatomical', 'poetic', 'medical_anatomical',
       'metaphorical_general', 'medical_anatomical',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'mythological', 'geographical', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'mythological',
       'mythological', 'mythological', 'mythological', 'mythological',
       'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'geographical',
       'medical_anatomical', 'philosophical', 'mythological',
       'metaphorical_general', 'philosophical', 'metaphorical_general',
       'geographical', 'metaphorical_general', 'medical_anatomical',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'philosophical', 'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'mythological', 'medical_anatomical',
       'medical_anatomical', 'poetic', 'scientific_alchemical',
       'medical_anatomical', 'medical_anatomical',
       'scientific_alchemical', 'scientific_alchemical',
       'metaphorical_general', 'geographical', 'metaphorical_general',
       'mythological', 'geographical', 'scientific_alchemical',
